productId,currentTitle,detectedBrand,detectedModel,currentSpecsSummary,missingFields,confidenceLevel,researchRequired,recommendedAction,imageSearchQuery,uaePriceSearchQuery,ksaPriceSearchQuery,seoKeywordTarget
prod_import_xlsx_1776538003641_1,HP EliteBook 840 G3 Laptop,HP,EliteBook 840 G3,Core i5-6300U | 8GB | 256GB | 14-inch | Intel UHD Graphics | Windows 10 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP EliteBook 840 G3 Laptop official product image white background,HP EliteBook 840 G3 Laptop UAE price refurbished,HP EliteBook 840 G3 Laptop Saudi Arabia price refurbished,HP EliteBook 840 G3 refurbished laptop UAE
prod_import_xlsx_1776538003641_2,HP EliteBook 840 G5 Laptop,HP,EliteBook 840 G5,Core i5-8250U | 8GB | 256GB | 14-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP EliteBook 840 G5 Laptop official product image white background,HP EliteBook 840 G5 Laptop UAE price refurbished,HP EliteBook 840 G5 Laptop Saudi Arabia price refurbished,HP EliteBook 840 G5 refurbished laptop UAE
prod_import_xlsx_1776538003641_3,HP EliteBook 840 G6 Laptop,HP,EliteBook 840 G6,Core i5-8365U | 8GB | 256GB | 14-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP EliteBook 840 G6 Laptop official product image white background,HP EliteBook 840 G6 Laptop UAE price refurbished,HP EliteBook 840 G6 Laptop Saudi Arabia price refurbished,HP EliteBook 840 G6 refurbished laptop UAE
prod_import_xlsx_1776538003641_4,HP EliteBook 840 G7 Laptop,HP,EliteBook 840 G7,Core i5-10310U | 16GB | 256GB | 14-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP EliteBook 840 G7 Laptop official product image white background,HP EliteBook 840 G7 Laptop UAE price refurbished,HP EliteBook 840 G7 Laptop Saudi Arabia price refurbished,HP EliteBook 840 G7 refurbished laptop UAE
prod_import_xlsx_1776538003641_5,HP EliteBook 840 G8 Laptop,HP,EliteBook 840 G8,Core i5-1135G7 | 16GB | 256GB | 14-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP EliteBook 840 G8 Laptop official product image white background,HP EliteBook 840 G8 Laptop UAE price refurbished,HP EliteBook 840 G8 Laptop Saudi Arabia price refurbished,HP EliteBook 840 G8 refurbished laptop UAE
prod_import_xlsx_1776538003641_6,HP EliteBook 850 G5 Laptop,HP,EliteBook 850 G5,Core i5-8250U | 8GB | 256GB | 15.6-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP EliteBook 850 G5 Laptop official product image white background,HP EliteBook 850 G5 Laptop UAE price refurbished,HP EliteBook 850 G5 Laptop Saudi Arabia price refurbished,HP EliteBook 850 G5 refurbished laptop UAE
prod_import_xlsx_1776538003641_7,HP EliteBook 850 G6 Laptop,HP,EliteBook 850 G6,Core i5-8365U | 8GB | 256GB | 15.6-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP EliteBook 850 G6 Laptop official product image white background,HP EliteBook 850 G6 Laptop UAE price refurbished,HP EliteBook 850 G6 Laptop Saudi Arabia price refurbished,HP EliteBook 850 G6 refurbished laptop UAE
prod_import_xlsx_1776538003641_8,HP EliteBook 850 G7 Laptop,HP,EliteBook 850 G7,Core i5-10310U | 16GB | 256GB | 15.6-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP EliteBook 850 G7 Laptop official product image white background,HP EliteBook 850 G7 Laptop UAE price refurbished,HP EliteBook 850 G7 Laptop Saudi Arabia price refurbished,HP EliteBook 850 G7 refurbished laptop UAE
prod_import_xlsx_1776538003641_9,HP EliteBook 745 G5 Laptop,HP,EliteBook 745 G5,Ryzen 5 PRO 2500U | 8GB | 256GB | 14-inch | AMD Radeon Graphics | Windows 11 | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP EliteBook 745 G5 Laptop official product image white background,HP EliteBook 745 G5 Laptop UAE price refurbished,HP EliteBook 745 G5 Laptop Saudi Arabia price refurbished,HP EliteBook 745 G5 refurbished laptop UAE
prod_import_xlsx_1776538003641_10,HP EliteBook 745 G6 Laptop,HP,EliteBook 745 G6,Ryzen 5 PRO 3500U | 8GB | 256GB | 14-inch | AMD Radeon Graphics | Windows 11 | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP EliteBook 745 G6 Laptop official product image white background,HP EliteBook 745 G6 Laptop UAE price refurbished,HP EliteBook 745 G6 Laptop Saudi Arabia price refurbished,HP EliteBook 745 G6 refurbished laptop UAE
prod_import_xlsx_1776538003641_11,HP ProBook 440 G5 Laptop,HP,ProBook 440 G5,Core i5-8250U | 8GB | 256GB | 14-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP ProBook 440 G5 Laptop official product image white background,HP ProBook 440 G5 Laptop UAE price refurbished,HP ProBook 440 G5 Laptop Saudi Arabia price refurbished,HP ProBook 440 G5 refurbished laptop UAE
